ID,Facility,Issue,Fix,Location
17,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/va-cnn
18,Dallas Detox,"Get the Help You Need Right Now - should be above the text of ""How Common is Addiction Among Veterans?"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/va-cnn
19,Dallas Detox,"""Insurance Accepted - We Work With Most Major Insurance"" - CTA Should be below ""Request a Callback - Let Us Help You Begin Your Journey to Recovery""",Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,
20,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/va-cnn
21,Dallas Detox,,,https://dallas-detox-center.vercel.app/va-cnn
22,Dallas Detox,"Get Immediate Help Now needs to be a box with a verify your insurance button linking to the admissions page
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/va-cnn
23,Dallas Detox,"Written By: admin · Medically Reviewed By: Alexandria Grigsby LCDC · November 29, 2023",Remove the written by: admin in this page,https://dallas-detox-center.vercel.app/who-we-help/veterans
24,Dallas Detox,Get Help Now Introduction - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/who-we-help/veterans
25,Dallas Detox,We Can Help You - No Matter What. - Text box doesn't match the style of the rest,"Remove entirely, use the Get Help Now box instead, AI copied the sections incorrectly in development",https://dallas-detox-center.vercel.app/who-we-help/veterans
26,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images (2x) using the pictures in the shared drive,https://dallas-detox-center.vercel.app/who-we-help/veterans
27,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/who-we-help/veterans
28,Dallas Detox,"Get the Help You Need Right Now - should be above the text of ""How Common is Addiction Among Veterans?"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/who-we-help/veterans
29,Dallas Detox,"""Insurance Accepted - We Work With Most Major Insurance"" - CTA Should be below ""Request a Callback - Let Us Help You Begin Your Journey to Recovery""",Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/who-we-help/veterans
30,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/who-we-help/veterans
31,Dallas Detox,,,https://dallas-detox-center.vercel.app/who-we-help/veterans
32,Dallas Detox,"Get Immediate Help Now needs to be a box with a verify your insurance button linking to the admissions page
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/who-we-help/veterans
33,Dallas Detox,We Can Help You - No Matter What. - Text box doesn't match the style of the rest,"Remove entirely, use the Get Help Now box instead, AI copied the sections incorrectly in development",https://dallas-detox-center.vercel.app/waco
34,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/waco
35,Dallas Detox,We are here for you - Blank text box,Remove,https://dallas-detox-center.vercel.app/waco
36,Dallas Detox,"Add ""We are here for you"" above ""What Are the Waco Drug Rehab Options?"" in fine text",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/waco
37,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/waco
38,Dallas Detox,"Request a Callback - Let Us Help You Begin Your Journey to Recovery - Needs a submission box with Name, Phone, Email, and a ""Paying with"" picklist containing PPO insurance, POS Insurance, EPO Insurance, HMO Insurance, Medicaid, Medicare, Self-Pay, and No Insurance",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/waco
39,Dallas Detox,"""Get the Help You Need Right Now"" under ""Let Us Help You Begin Your Journey to Recovery""","Remove, was the fine text above an old section",https://dallas-detox-center.vercel.app/waco
40,Dallas Detox,What Should I Look for Within Addition Treatment in Waco?,Remove as a text widget and create its own section,https://dallas-detox-center.vercel.app/waco
41,Dallas Detox,Request a Callback - Let Us Help You Begin Your Journey to Recovery - Needs a call button linked to the sites number,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/waco
42,Dallas Detox,Get Immediate Help Now blank text box widget,Remove,https://dallas-detox-center.vercel.app/waco
43,Dallas Detox,Contact Us blank text box widget,Remove,https://dallas-detox-center.vercel.app/waco
44,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images (2x) using the pictures in the shared drive,https://dallas-detox-center.vercel.app/waco
45,Dallas Detox,"""Insurance Accepted - We Work With Most Major Insurance"" - CTA Should be below ""Request a Callback - Let Us Help You Begin Your Journey to Recovery""",Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/waco
46,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/waco
47,Dallas Detox,Missing Medically Reviewed By section ,Add to page,https://dallas-detox-center.vercel.app/benzo-detox
48,Dallas Detox,"""Benzo Detox in Dallas, Texas Drug & Alcohol Detox in Dallas, Texas"" redundant title created",Remove,https://dallas-detox-center.vercel.app/benzo-detox
49,Dallas Detox,We Can Help You - No Matter What. - Text box,"Remove entirely, use the Get Help Now box instead, AI copied the sections incorrectly in development",https://dallas-detox-center.vercel.app/benzo-detox
50,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/benzo-detox
51,Dallas Detox,learn more about benzos - text box,Remove,https://dallas-detox-center.vercel.app/benzo-detox
52,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/benzo-detox
53,Dallas Detox,"Get the Help You Need Right Now - should be above the text of ""Are Benzos Addictive?"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/benzo-detox
54,Dallas Detox,Do Benzos Cause Withdrawal?,Text box needs to be its own section,https://dallas-detox-center.vercel.app/benzo-detox
55,Dallas Detox,What Are Common Benzo Withdrawal Symptoms?,Text box needs to be its own section,https://dallas-detox-center.vercel.app/benzo-detox
56,Dallas Detox,Get the Help You Need at,Text box needs to be removed,https://dallas-detox-center.vercel.app/benzo-detox
57,Dallas Detox,"Get the Help You Need text under ""How to Detox from Benzos""",Text needs to be removed,https://dallas-detox-center.vercel.app/benzo-detox
58,Dallas Detox,"Contact Us Today - we are here for you above ""Dallas Detox is a Benzo Detox Center in Texas""",Text needs to be removed,https://dallas-detox-center.vercel.app/benzo-detox
59,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/benzo-detox
60,Dallas Detox,Get Immediate Help Now - Text box,Text box needs to be removed,https://dallas-detox-center.vercel.app/benzo-detox
61,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/benzo-detox
62,Dallas Detox,Written By: admin · Medically Reviewed By: Alexandria Grigsby LCDC,remove written by: admin,https://dallas-detox-center.vercel.app/meth-detox
63,Dallas Detox,We Can Help You - No Matter What. section,"remove section, old cta",https://dallas-detox-center.vercel.app/meth-detox
64,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
","Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text",https://dallas-detox-center.vercel.app/meth-detox
65,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/meth-detox
66,Dallas Detox,"Get Immediate Help Now above ""How Does Meth Impact the Body?""","Use the CTA ""Take the first step toward recovery today"" by the footer",https://dallas-detox-center.vercel.app/meth-detox
67,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
","Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text",https://dallas-detox-center.vercel.app/alcohol-detox
68,Dallas Detox,"""Get the Help You Need Right Now"" in the ""What to Expect: The Alcohol Detox Process at DDC"" section
",remove,https://dallas-detox-center.vercel.app/alcohol-detox
69,Dallas Detox,Request a call back text box,remove,https://dallas-detox-center.vercel.app/alcohol-detox
70,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/alcohol-detox
71,Dallas Detox,Most Frequently Asked Questions,missing the questions for the answers. should also be formatted as an accordian,https://dallas-detox-center.vercel.app/alcohol-detox
72,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/alcohol-detox
73,Dallas Detox,We Can Help You - No Matter What. - Text box,"Remove entirely, use the Get Help Now box instead, AI copied the sections incorrectly in development",https://dallas-detox-center.vercel.app/fentanyl-detox
74,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/fentanyl-detox
75,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/fentanyl-detox
76,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/fentanyl-detox
77,Dallas Detox,The Impact of Fentanyl on the Body text box,create its own designated section,https://dallas-detox-center.vercel.app/fentanyl-detox
78,Dallas Detox,Symptoms of Fentanyl Withdrawal text box,create its own designated section,https://dallas-detox-center.vercel.app/fentanyl-detox
79,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/fentanyl-detox
80,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/fentanyl-detox
81,Dallas Detox,"Written By: admin · Medically Reviewed By: Alexandria Grigsby LCDC · June 8, 2023",Remove the written by: admin in this page,https://dallas-detox-center.vercel.app/prescription-drugs-detox
82,Dallas Detox,We Can Help You - No Matter What.,"Remove section, old cta",https://dallas-detox-center.vercel.app/prescription-drugs-detox
83,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
","Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text",https://dallas-detox-center.vercel.app/prescription-drugs-detox
84,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/prescription-drugs-detox
85,Dallas Detox,"""Get the Help You Need Right Now"" in the ""Let Us Help You Begin Your Journey to Recovery"" section
",remove,https://dallas-detox-center.vercel.app/prescription-drugs-detox
86,Dallas Detox,"""Get Immediate Help Now"" in the ""What Are the Signs of Prescription Drug Abuse?"" section
",remove,https://dallas-detox-center.vercel.app/prescription-drugs-detox
87,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/prescription-drugs-detox
88,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/abilene
89,Dallas Detox,Get Help Now Introduction - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/abilene
90,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/abilene
91,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/abilene
92,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/abilene
93,Dallas Detox,Get the Help You Need Right Now,remove,https://dallas-detox-center.vercel.app/abilene
94,Dallas Detox,"Dallas Detox Center Offers Addiction Treatment near Abilene, TX",create its own designated section,https://dallas-detox-center.vercel.app/abilene
95,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/abilene
96,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/abilene
97,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/abilene
98,Dallas Detox,"Written By: admin · Medically Reviewed By: Alexandria Grigsby LCDC · May 1, 2023",Remove the written by: admin in this page,https://dallas-detox-center.vercel.app/farmers-branch
99,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/farmers-branch
100,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/farmers-branch
101,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/farmers-branch
102,Dallas Detox,"Request a Callback - Should be a above the text of ""Let Us Help You Begin Your Journey to Recovery"" in fine text
",modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/farmers-branch
103,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/farmers-branch
104,Dallas Detox,Get the Help You Need Right Now,remove,https://dallas-detox-center.vercel.app/farmers-branch
105,Dallas Detox,"Dallas Detox Center Offers Addiction Treatment near Farmers Branch, TX",create its own designated section,https://dallas-detox-center.vercel.app/farmers-branch
106,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/farmers-branch
107,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/farmers-branch
108,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/farmers-branch
109,Dallas Detox,"Drug Rehab Near Arlington, TX","double title on the page, remove",https://dallas-detox-center.vercel.app/wichita-falls
110,Dallas Detox,Missing Medically Reviewed By section ,"add Medically Reviewed By: Alexandria Grigsby LCDC + March 31, 2023",https://dallas-detox-center.vercel.app/wichita-falls
111,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/wichita-falls
112,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/wichita-falls
113,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/wichita-falls
114,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/wichita-falls
115,Dallas Detox,Get the Help You Need Right Now,remove,https://dallas-detox-center.vercel.app/wichita-falls
116,Dallas Detox,"Dallas Detox Center Offers Addiction Treatment near Wichita Falls, TX",create its own designated section,https://dallas-detox-center.vercel.app/wichita-falls
117,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/wichita-falls
118,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/wichita-falls
119,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/wichita-falls
120,Dallas Detox,"Drug Rehab Near Arlington, TX",remove ,https://dallas-detox-center.vercel.app/university-park
121,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/university-park
122,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/university-park
123,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/university-park
124,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/university-park
125,Dallas Detox,Get the Help You Need Right Now,remove,https://dallas-detox-center.vercel.app/university-park
126,Dallas Detox,"Dallas Detox Center Offers Addiction Treatment near University Park, TX",create its own designated section,https://dallas-detox-center.vercel.app/university-park
127,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/university-park
128,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/university-park
129,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/university-park
130,Dallas Detox,Written By: admin,remove admin,https://dallas-detox-center.vercel.app/highland-park
131,Dallas Detox,"Experience high-quality medical drug & alcohol detox services near Highland Park, Texas - double title",Remove,https://dallas-detox-center.vercel.app/highland-park
132,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/highland-park
133,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/highland-park
134,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/highland-park
135,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/highland-park
136,Dallas Detox,Get the Help You Need Right Now,remove,https://dallas-detox-center.vercel.app/highland-park
137,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/highland-park
138,Dallas Detox,"Dallas Detox Center Offers Addiction Treatment near Highland Park, TX",create its own designated section,https://dallas-detox-center.vercel.app/highland-park
139,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/highland-park
140,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/highland-park
141,Dallas Detox,Written By: admin,remove admin,https://dallas-detox-center.vercel.app/arlington
142,Dallas Detox,"Experience high-quality medical drug & alcohol detox services near Arlington, Texas - double title",Remove,https://dallas-detox-center.vercel.app/arlington
143,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/arlington
144,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/arlington
145,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/arlington
146,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/arlington
147,Dallas Detox,Get the Help You Need Right Now,remove,https://dallas-detox-center.vercel.app/arlington
148,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/arlington
149,Dallas Detox,"Dallas Detox Center Offers Addiction Treatment near Arlington, TX",create its own designated section,https://dallas-detox-center.vercel.app/arlington
150,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/arlington
151,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/garland
152,Dallas Detox,"Experience high-quality medical drug & alcohol detox services near Garland, Texas - double title",remove,https://dallas-detox-center.vercel.app/garland
153,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/garland
154,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/garland
155,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/garland
156,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/garland
157,Dallas Detox,Get the Help You Need Right Now,remove,https://dallas-detox-center.vercel.app/garland
158,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/garland
159,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/garland
160,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/garland
161,Dallas Detox,"Experience high-quality medical drug & alcohol detox services near Fort Worth, Texas","double title on the page, remove",https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
162,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
163,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
164,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
165,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
166,Dallas Detox,Get the Help You Need Right Now,remove,https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
167,Dallas Detox,Get Immediate Help Now,remove,https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
168,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
169,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/fort-worth-drug-rehab
170,Dallas Detox,"Cocaine Detox in Dallas, Texas - Double Title",remove,https://dallas-detox-center.vercel.app/cocaine-detox
171,Dallas Detox,Missing Medically Reviewed By section ,"add Medically Reviewed By: Alexandria Grigsby LCDC December 28, 2022",https://dallas-detox-center.vercel.app/cocaine-detox
172,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/cocaine-detox
173,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/cocaine-detox
174,Dallas Detox,Learn more about cocaine - Blank text box,remove,https://dallas-detox-center.vercel.app/cocaine-detox
175,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/cocaine-detox
176,Dallas Detox,"Request a Callback",remove,https://dallas-detox-center.vercel.app/cocaine-detox
177,Dallas Detox,What Are the Signs of Cocaine Addiction?,create its own designated section,https://dallas-detox-center.vercel.app/cocaine-detox
178,Dallas Detox,How Long Does It Take To Detox from Cocaine?,create its own designated section,https://dallas-detox-center.vercel.app/cocaine-detox
179,Dallas Detox,the symptoms text box,remove,https://dallas-detox-center.vercel.app/cocaine-detox
180,Dallas Detox,We are here for you - Blank text box,remove,https://dallas-detox-center.vercel.app/cocaine-detox
181,Dallas Detox,Contact Us Today - blank text box,remove,https://dallas-detox-center.vercel.app/cocaine-detox
182,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/cocaine-detox
183,Dallas Detox,Our Facility - A Look Inside Our Campus - Contains stock images instead of facility images,Change images using the pictures in the shared drive,https://dallas-detox-center.vercel.app/cocaine-detox
184,Dallas Detox,Rearrange CTA's throughout the page,Arrangement of the CTA's are bundled at the bottom of the page. They need to be spread out,https://dallas-detox-center.vercel.app/cocaine-detox
185,Dallas Detox,Missing Medically Reviewed By section ,"add Medically Reviewed By: Alexandria Grigsby LCDC December 28, 2022",https://dallas-detox-center.vercel.app/heroin-detox
186,Dallas Detox,"Heroin Detox in Dallas, Texas Drug & Alcohol Detox in Dallas, Texas - double title",remove,https://dallas-detox-center.vercel.app/heroin-detox
187,Dallas Detox,We Can Help You - No Matter What. text box,remove,https://dallas-detox-center.vercel.app/heroin-detox
188,Dallas Detox,Get Help Now - Blank text box,add a link to admission page,https://dallas-detox-center.vercel.app/heroin-detox
189,Dallas Detox,Learn more about heroin - Blank text box,remove,https://dallas-detox-center.vercel.app/heroin-detox
190,Dallas Detox,2x - Let Us Help You Begin Your Journey to Recovery CTA's - Should be merged into one,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/heroin-detox
191,Dallas Detox,"Request a Callback",remove,https://dallas-detox-center.vercel.app/heroin-detox
192,Dallas Detox,Get Immediate Help Now text box,remove,https://dallas-detox-center.vercel.app/heroin-detox
193,Dallas Detox,"What Are the Symptoms of Heroin Withdrawal? section content missing
",add content from the original page (content is under the following header),https://dallas-detox-center.vercel.app/heroin-detox
194,Dallas Detox,Get the Help You Need,remove,https://dallas-detox-center.vercel.app/heroin-detox
195,Dallas Detox,Contact Us Today,remove,https://dallas-detox-center.vercel.app/heroin-detox
196,Dallas Detox,Dallas Detox Center Offers Heroin Detox Programs in Texas - header in the wrong section,modify page structure to match the structure in the original page,https://dallas-detox-center.vercel.app/heroin-detox
